가감: ㄱㅏㄱㅏㅁ
가게: ㄱㅏㄱㅓㅣ
가격: ㄱㅏㄱㅕㄱ
가결: ㄱㅏㄱㅕㄹ
가계: ㄱㅏㄱㅕㅣ
가곡: ㄱㅏㄱㅗㄱ
가공: ㄱㅏㄱㅗㅇ
가극: ㄱㅏㄱㅡㄱ
가난: ㄱㅏㄴㅏㄴ
가늠: ㄱㅏㄴㅡㅁ
가능: ㄱㅏㄴㅡㅇ
가닥: ㄱㅏㄷㅏㄱ
가담: ㄱㅏㄷㅏㅁ
가동: ㄱㅏㄷㅗㅇ
가락: ㄱㅏㄹㅏㄱ
가래: ㄱㅏㄹㅏㅣ
가량: ㄱㅏㄹㅑㅇ
가름: ㄱㅏㄹㅡㅁ
가망: ㄱㅏㅁㅏㅇ
가면: ㄱㅏㅁㅕㄴ
가명: ㄱㅏㅁㅕㅇ
가문: ㄱㅏㅁㅜㄴ
가뭄: ㄱㅏㅁㅜㅁ
가발: ㄱㅏㅂㅏㄹ
가방: ㄱㅏㅂㅏㅇ
가법: ㄱㅏㅂㅓㅂ
가변: ㄱㅏㅂㅕㄴ
가봉: ㄱㅏㅂㅗㅇ
가불: ㄱㅏㅂㅜㄹ
가산: ㄱㅏㅅㅏㄴ
가상: ㄱㅏㅅㅏㅇ
가설: ㄱㅏㅅㅓㄹ
가성: ㄱㅏㅅㅓㅇ
가세: ㄱㅏㅅㅓㅣ
가속: ㄱㅏㅅㅗㄱ
가슴: ㄱㅏㅅㅡㅁ
가식: ㄱㅏㅅㅣㄱ
가십: ㄱㅏㅅㅣㅂ
가업: ㄱㅏㅇㅓㅂ
가열: ㄱㅏㅇㅕㄹ
가옥: ㄱㅏㅇㅗㄱ
가외: ㄱㅏㅇㅗㅣ
가용: ㄱㅏㅇㅛㅇ
가운: ㄱㅏㅇㅜㄴ
가위: ㄱㅏㅇㅜㅣ
가을: ㄱㅏㅇㅡㄹ
가입: ㄱㅏㅇㅣㅂ
가작: ㄱㅏㅈㅏㄱ
가장: ㄱㅏㅈㅏㅇ
가재: ㄱㅏㅈㅏㅣ
가전: ㄱㅏㅈㅓㄴ
가정: ㄱㅏㅈㅓㅇ
가제: ㄱㅏㅈㅓㅣ
가족: ㄱㅏㅈㅗㄱ
가죽: ㄱㅏㅈㅜㄱ
가중: ㄱㅏㅈㅜㅇ
가짜: ㄱㅏㅈㅈㅏ
가창: ㄱㅏㅊㅏㅇ
가축: ㄱㅏㅊㅜㄱ
가출: ㄱㅏㅊㅜㄹ
가친: ㄱㅏㅊㅣㄴ
가칭: ㄱㅏㅊㅣㅇ
가탈: ㄱㅏㅌㅏㄹ
가통: ㄱㅏㅌㅗㅇ
가판: ㄱㅏㅍㅏㄴ
가풍: ㄱㅏㅍㅜㅇ
가필: ㄱㅏㅍㅣㄹ
가학: ㄱㅏㅎㅏㄱ
가해: ㄱㅏㅎㅏㅣ
가훈: ㄱㅏㅎㅜㄴ
각고: ㄱㅏㄱㄱㅗ
각기: ㄱㅏㄱㄱㅣ
각도: ㄱㅏㄱㄷㅗ
각료: ㄱㅏㄱㄹㅛ
각부: ㄱㅏㄱㅂㅜ
각서: ㄱㅏㄱㅅㅓ
각시: ㄱㅏㄱㅅㅣ
각오: ㄱㅏㄱㅇㅗ
각자: ㄱㅏㄱㅈㅏ
각주: ㄱㅏㄱㅈㅜ
각지: ㄱㅏㄱㅈㅣ
각처: ㄱㅏㄱㅊㅓ
각파: ㄱㅏㄱㅍㅏ
각하: ㄱㅏㄱㅎㅏ
간교: ㄱㅏㄴㄱㅛ
간부: ㄱㅏㄴㅂㅜ
간사: ㄱㅏㄴㅅㅏ
간수: ㄱㅏㄴㅅㅜ
간여: ㄱㅏㄴㅇㅕ
간이: ㄱㅏㄴㅇㅣ
간조: ㄱㅏㄴㅈㅗ
간주: ㄱㅏㄴㅈㅜ
간지: ㄱㅏㄴㅈㅣ
간파: ㄱㅏㄴㅍㅏ
간호: ㄱㅏㄴㅎㅗ
갈구: ㄱㅏㄹㄱㅜ
갈기: ㄱㅏㄹㄱㅣ
갈비: ㄱㅏㄹㅂㅣ
갈이: ㄱㅏㄹㅇㅣ
갈치: ㄱㅏㄹㅊㅣ
갈피: ㄱㅏㄹㅍㅣ
감기: ㄱㅏㅁㄱㅣ
감도: ㄱㅏㅁㄷㅗ
감리: ㄱㅏㅁㄹㅣ
감사: ㄱㅏㅁㅅㅏ
감소: ㄱㅏㅁㅅㅗ
감수: ㄱㅏㅁㅅㅜ
감시: ㄱㅏㅁㅅㅣ
감자: ㄱㅏㅁㅈㅏ
감주: ㄱㅏㅁㅈㅜ
감지: ㄱㅏㅁㅈㅣ
감초: ㄱㅏㅁㅊㅗ
감투: ㄱㅏㅁㅌㅜ
감호: ㄱㅏㅁㅎㅗ
갑부: ㄱㅏㅂㅂㅜ
갑주: ㄱㅏㅂㅈㅜ
강가: ㄱㅏㅇㄱㅏ
강구: ㄱㅏㅇㄱㅜ
강도: ㄱㅏㅇㄷㅗ
강보: ㄱㅏㅇㅂㅗ
강사: ㄱㅏㅇㅅㅏ
강수: ㄱㅏㅇㅅㅜ
강시: ㄱㅏㅇㅅㅣ
강요: ㄱㅏㅇㅇㅛ
강우: ㄱㅏㅇㅇㅜ
강자: ㄱㅏㅇㅈㅏ
강조: ㄱㅏㅇㅈㅗ
강타: ㄱㅏㅇㅌㅏ
강토: ㄱㅏㅇㅌㅗ
강하: ㄱㅏㅇㅎㅏ
강호: ㄱㅏㅇㅎㅗ
개가: ㄱㅏㅣㄱㅏ
개교: ㄱㅏㅣㄱㅛ
개그: ㄱㅏㅣㄱㅡ
개미: ㄱㅏㅣㅁㅣ
개비: ㄱㅏㅣㅂㅣ
개수: ㄱㅏㅣㅅㅜ
개시: ㄱㅏㅣㅅㅣ
개요: ㄱㅏㅣㅇㅛ
개조: ㄱㅏㅣㅈㅗ
개표: ㄱㅏㅣㅍㅛ
거개: ㄱㅓㄱㅏㅣ
거국: ㄱㅓㄱㅜㄱ
거금: ㄱㅓㄱㅡㅁ
거대: ㄱㅓㄷㅏㅣ
거덜: ㄱㅓㄷㅓㄹ
거동: ㄱㅓㄷㅗㅇ
거들: ㄱㅓㄷㅡㄹ
거래: ㄱㅓㄹㅏㅣ
거론: ㄱㅓㄹㅗㄴ
거름: ㄱㅓㄹㅡㅁ
거만: ㄱㅓㅁㅏㄴ
거명: ㄱㅓㅁㅕㅇ
거목: ㄱㅓㅁㅗㄱ
거물: ㄱㅓㅁㅜㄹ
거봉: ㄱㅓㅂㅗㅇ
거북: ㄱㅓㅂㅜㄱ
거상: ㄱㅓㅅㅏㅇ
거성: ㄱㅓㅅㅓㅇ
거세: ㄱㅓㅅㅓㅣ
거실: ㄱㅓㅅㅣㄹ
거역: ㄱㅓㅇㅕㄱ
거울: ㄱㅓㅇㅜㄹ
거웃: ㄱㅓㅇㅜㅅ
거위: ㄱㅓㅇㅜㅣ
거의: ㄱㅓㅇㅡㅣ
거인: ㄱㅓㅇㅣㄴ
거장: ㄱㅓㅈㅏㅇ
거적: ㄱㅓㅈㅓㄱ
거절: ㄱㅓㅈㅓㄹ
거점: ㄱㅓㅈㅓㅁ
거죽: ㄱㅓㅈㅜㄱ
거짓: ㄱㅓㅈㅣㅅ
거취: ㄱㅓㅊㅜㅣ
거품: ㄱㅓㅍㅜㅁ
건기: ㄱㅓㄴㄱㅣ
건너: ㄱㅓㄴㄴㅓ
건사: ㄱㅓㄴㅅㅏ
건수: ㄱㅓㄴㅅㅜ
