가객: ㄱㅏㄱㅏㅣㄱ
가관: ㄱㅏㄱㅗㅏㄴ
가책: ㄱㅏㅊㅏㅣㄱ
가택: ㄱㅏㅌㅏㅣㄱ
각각: ㄱㅏㄱㄱㅏㄱ
각개: ㄱㅏㄱㄱㅏㅣ
각계: ㄱㅏㄱㄱㅕㅣ
각국: ㄱㅏㄱㄱㅜㄱ
각급: ㄱㅏㄱㄱㅡㅂ
각론: ㄱㅏㄱㄹㅗㄴ
각막: ㄱㅏㄱㅁㅏㄱ
각목: ㄱㅏㄱㅁㅗㄱ
각방: ㄱㅏㄱㅂㅏㅇ
각본: ㄱㅏㄱㅂㅗㄴ
각성: ㄱㅏㄱㅅㅓㅇ
각인: ㄱㅏㄱㅇㅣㄴ
각종: ㄱㅏㄱㅈㅗㅇ
각질: ㄱㅏㄱㅈㅣㄹ
각축: ㄱㅏㄱㅊㅜㄱ
각층: ㄱㅏㄱㅊㅡㅇ
간격: ㄱㅏㄴㄱㅕㄱ
간계: ㄱㅏㄴㄱㅕㅣ
간과: ㄱㅏㄴㄱㅗㅏ
간극: ㄱㅏㄴㄱㅡㄱ
간담: ㄱㅏㄴㄷㅏㅁ
간발: ㄱㅏㄴㅂㅏㄹ
간밤: ㄱㅏㄴㅂㅏㅁ
간병: ㄱㅏㄴㅂㅕㅇ
간선: ㄱㅏㄴㅅㅓㄴ
간섭: ㄱㅏㄴㅅㅓㅂ
간식: ㄱㅏㄴㅅㅣㄱ
간신: ㄱㅏㄴㅅㅣㄴ
간암: ㄱㅏㄴㅇㅏㅁ
간언: ㄱㅏㄴㅇㅓㄴ
간염: ㄱㅏㄴㅇㅕㅁ
간음: ㄱㅏㄴㅇㅡㅁ
간장: ㄱㅏㄴㅈㅏㅇ
간접: ㄱㅏㄴㅈㅓㅂ
간증: ㄱㅏㄴㅈㅡㅇ
간질: ㄱㅏㄴㅈㅣㄹ
간척: ㄱㅏㄴㅊㅓㄱ
간첩: ㄱㅏㄴㅊㅓㅂ
간청: ㄱㅏㄴㅊㅓㅇ
간통: ㄱㅏㄴㅌㅗㅇ
간판: ㄱㅏㄴㅍㅏㄴ
간혹: ㄱㅏㄴㅎㅗㄱ
갈대: ㄱㅏㄹㄷㅏㅣ
갈등: ㄱㅏㄹㄷㅡㅇ
갈래: ㄱㅏㄹㄹㅏㅣ
갈망: ㄱㅏㄹㅁㅏㅇ
갈밭: ㄱㅏㄹㅂㅏㅌ
갈잎: ㄱㅏㄹㅇㅣㅍ
갈증: ㄱㅏㄹㅈㅡㅇ
갈채: ㄱㅏㄹㅊㅏㅣ
갈취: ㄱㅏㄹㅊㅜㅣ
갈퀴: ㄱㅏㄹㅋㅜㅣ
감각: ㄱㅏㅁㄱㅏㄱ
감개: ㄱㅏㅁㄱㅏㅣ
감격: ㄱㅏㅁㄱㅕㄱ
감귤: ㄱㅏㅁㄱㅠㄹ
감금: ㄱㅏㅁㄱㅡㅁ
감내: ㄱㅏㅁㄴㅏㅣ
감당: ㄱㅏㅁㄷㅏㅇ
감독: ㄱㅏㅁㄷㅗㄱ
감동: ㄱㅏㅁㄷㅗㅇ
감량: ㄱㅏㅁㄹㅑㅇ
감면: ㄱㅏㅁㅁㅕㄴ
감명: ㄱㅏㅁㅁㅕㅇ
감방: ㄱㅏㅁㅂㅏㅇ
감별: ㄱㅏㅁㅂㅕㄹ
감복: ㄱㅏㅁㅂㅗㄱ
감봉: ㄱㅏㅁㅂㅗㅇ
감산: ㄱㅏㅁㅅㅏㄴ
감상: ㄱㅏㅁㅅㅏㅇ
감성: ㄱㅏㅁㅅㅓㅇ
감세: ㄱㅏㅁㅅㅓㅣ
감속: ㄱㅏㅁㅅㅗㄱ
감식: ㄱㅏㅁㅅㅣㄱ
감안: ㄱㅏㅁㅇㅏㄴ
감염: ㄱㅏㅁㅇㅕㅁ
감옥: ㄱㅏㅁㅇㅗㄱ
감응: ㄱㅏㅁㅇㅡㅇ
감전: ㄱㅏㅁㅈㅓㄴ
감점: ㄱㅏㅁㅈㅓㅁ
감정: ㄱㅏㅁㅈㅓㅇ
감찰: ㄱㅏㅁㅊㅏㄹ
감천: ㄱㅏㅁㅊㅓㄴ
감청: ㄱㅏㅁㅊㅓㅇ
감촉: ㄱㅏㅁㅊㅗㄱ
감축: ㄱㅏㅁㅊㅜㄱ
감탄: ㄱㅏㅁㅌㅏㄴ
감퇴: ㄱㅏㅁㅌㅗㅣ
감형: ㄱㅏㅁㅎㅕㅇ
감화: ㄱㅏㅁㅎㅗㅏ
감회: ㄱㅏㅁㅎㅗㅣ
감흥: ㄱㅏㅁㅎㅡㅇ
갑옷: ㄱㅏㅂㅇㅗㅅ
갑절: ㄱㅏㅂㅈㅓㄹ
갑판: ㄱㅏㅂㅍㅏㄴ
갓길: ㄱㅏㅅㄱㅣㄹ
강간: ㄱㅏㅇㄱㅏㄴ
강경: ㄱㅏㅇㄱㅕㅇ
강골: ㄱㅏㅇㄱㅗㄹ
강국: ㄱㅏㅇㄱㅜㄱ
강남: ㄱㅏㅇㄴㅏㅁ
강단: ㄱㅏㅇㄷㅏㄴ
강당: ㄱㅏㅇㄷㅏㅇ
강대: ㄱㅏㅇㄷㅏㅣ
강독: ㄱㅏㅇㄷㅗㄱ
강둑: ㄱㅏㅇㄷㅜㄱ
강등: ㄱㅏㅇㄷㅡㅇ
강력: ㄱㅏㅇㄹㅕㄱ
강령: ㄱㅏㅇㄹㅕㅇ
강론: ㄱㅏㅇㄹㅗㄴ
강림: ㄱㅏㅇㄹㅣㅁ
강매: ㄱㅏㅇㅁㅏㅣ
강물: ㄱㅏㅇㅁㅜㄹ
강박: ㄱㅏㅇㅂㅏㄱ
강변: ㄱㅏㅇㅂㅕㄴ
강북: ㄱㅏㅇㅂㅜㄱ
강산: ㄱㅏㅇㅅㅏㄴ
강설: ㄱㅏㅇㅅㅓㄹ
강성: ㄱㅏㅇㅅㅓㅇ
강세: ㄱㅏㅇㅅㅓㅣ
강술: ㄱㅏㅇㅅㅜㄹ
강습: ㄱㅏㅇㅅㅡㅂ
강신: ㄱㅏㅇㅅㅣㄴ
강안: ㄱㅏㅇㅇㅏㄴ
강압: ㄱㅏㅇㅇㅏㅂ
강약: ㄱㅏㅇㅇㅑㄱ
강연: ㄱㅏㅇㅇㅕㄴ
강의: ㄱㅏㅇㅇㅡㅣ
강적: ㄱㅏㅇㅈㅓㄱ
강점: ㄱㅏㅇㅈㅓㅁ
강정: ㄱㅏㅇㅈㅓㅇ
강제: ㄱㅏㅇㅈㅓㅣ
강좌: ㄱㅏㅇㅈㅗㅏ
강진: ㄱㅏㅇㅈㅣㄴ
강짜: ㄱㅏㅇㅈㅈㅏ
강철: ㄱㅏㅇㅊㅓㄹ
강촌: ㄱㅏㅇㅊㅗㄴ
강탈: ㄱㅏㅇㅌㅏㄹ
강판: ㄱㅏㅇㅍㅏㄴ
강평: ㄱㅏㅇㅍㅕㅇ
강폭: ㄱㅏㅇㅍㅗㄱ
강풍: ㄱㅏㅇㅍㅜㅇ
강화: ㄱㅏㅇㅎㅗㅏ
갖신: ㄱㅏㅈㅅㅣㄴ
갖옷: ㄱㅏㅈㅇㅗㅅ
개각: ㄱㅏㅣㄱㅏㄱ
개간: ㄱㅏㅣㄱㅏㄴ
개강: ㄱㅏㅣㄱㅏㅇ
개개: ㄱㅏㅣㄱㅏㅣ
개국: ㄱㅏㅣㄱㅜㄱ
개근: ㄱㅏㅣㄱㅡㄴ
개념: ㄱㅏㅣㄴㅕㅁ
개띠: ㄱㅏㅣㄷㄷㅣ
개략: ㄱㅏㅣㄹㅑㄱ
개량: ㄱㅏㅣㄹㅑㅇ
개론: ㄱㅏㅣㄹㅗㄴ
개막: ㄱㅏㅣㅁㅏㄱ
개명: ㄱㅏㅣㅁㅕㅇ
개발: ㄱㅏㅣㅂㅏㄹ
개밥: ㄱㅏㅣㅂㅏㅂ
개방: ㄱㅏㅣㅂㅏㅇ
개벽: ㄱㅏㅣㅂㅕㄱ
개변: ㄱㅏㅣㅂㅕㄴ
개별: ㄱㅏㅣㅂㅕㄹ
개봉: ㄱㅏㅣㅂㅗㅇ
개선: ㄱㅏㅣㅅㅓㄴ
개설: ㄱㅏㅣㅅㅓㄹ
개성: ㄱㅏㅣㅅㅓㅇ
개신: ㄱㅏㅣㅅㅣㄴ
개심: ㄱㅏㅣㅅㅣㅁ
개악: ㄱㅏㅣㅇㅏㄱ
개암: ㄱㅏㅣㅇㅏㅁ
개업: ㄱㅏㅣㅇㅓㅂ
개연: ㄱㅏㅣㅇㅕㄴ
개울: ㄱㅏㅣㅇㅜㄹ
개인: ㄱㅏㅣㅇㅣㄴ
개입: ㄱㅏㅣㅇㅣㅂ
개작: ㄱㅏㅣㅈㅏㄱ
개장: ㄱㅏㅣㅈㅏㅇ
개재: ㄱㅏㅣㅈㅏㅣ
개전: ㄱㅏㅣㅈㅓㄴ
개점: ㄱㅏㅣㅈㅓㅁ
개정: ㄱㅏㅣㅈㅓㅇ
개종: ㄱㅏㅣㅈㅗㅇ
개중: ㄱㅏㅣㅈㅜㅇ
개진: ㄱㅏㅣㅈㅣㄴ
개집: ㄱㅏㅣㅈㅣㅂ
개찰: ㄱㅏㅣㅊㅏㄹ
개창: ㄱㅏㅣㅊㅏㅇ
개척: ㄱㅏㅣㅊㅓㄱ
개천: ㄱㅏㅣㅊㅓㄴ
개체: ㄱㅏㅣㅊㅓㅣ
개최: ㄱㅏㅣㅊㅗㅣ
개축: ㄱㅏㅣㅊㅜㄱ
개칭: ㄱㅏㅣㅊㅣㅇ
개탄: ㄱㅏㅣㅌㅏㄴ
개털: ㄱㅏㅣㅌㅓㄹ
개통: ㄱㅏㅣㅌㅗㅇ
개판: ㄱㅏㅣㅍㅏㄴ
개펄: ㄱㅏㅣㅍㅓㄹ
개편: ㄱㅏㅣㅍㅕㄴ
개평: ㄱㅏㅣㅍㅕㅇ
개폐: ㄱㅏㅣㅍㅕㅣ
개학: ㄱㅏㅣㅎㅏㄱ
개항: ㄱㅏㅣㅎㅏㅇ
개헌: ㄱㅏㅣㅎㅓㄴ
개혁: ㄱㅏㅣㅎㅕㄱ
개화: ㄱㅏㅣㅎㅗㅏ
개회: ㄱㅏㅣㅎㅗㅣ
객기: ㄱㅏㅣㄱㄱㅣ
객사: ㄱㅏㅣㄱㅅㅏ
객주: ㄱㅏㅣㄱㅈㅜ
객지: ㄱㅏㅣㄱㅈㅣ
객차: ㄱㅏㅣㄱㅊㅏ
갯가: ㄱㅏㅣㅅㄱㅏ
갱도: ㄱㅏㅣㅇㄷㅗ
갱지: ㄱㅏㅣㅇㅈㅣ
갹출: ㄱㅑㄱㅊㅜㄹ
거액: ㄱㅓㅇㅏㅣㄱ
거행: ㄱㅓㅎㅏㅣㅇ
걱정: ㄱㅓㄱㅈㅓㅇ
건강: ㄱㅓㄴㄱㅏㅇ
건곤: ㄱㅓㄴㄱㅗㄴ
건국: ㄱㅓㄴㄱㅜㄱ
건군: ㄱㅓㄴㄱㅜㄴ
건달: ㄱㅓㄴㄷㅏㄹ
건립: ㄱㅓㄴㄹㅣㅂ
건물: ㄱㅓㄴㅁㅜㄹ
건반: ㄱㅓㄴㅂㅏㄴ
건방: ㄱㅓㄴㅂㅏㅇ
건배: ㄱㅓㄴㅂㅏㅣ
건설: ㄱㅓㄴㅅㅓㄹ
건성: ㄱㅓㄴㅅㅓㅇ
건식: ㄱㅓㄴㅅㅣㄱ
건의: ㄱㅓㄴㅇㅡㅣ
건재: ㄱㅓㄴㅈㅏㅣ
건전: ㄱㅓㄴㅈㅓㄴ
건축: ㄱㅓㄴㅊㅜㄱ
건평: ㄱㅓㄴㅍㅕㅇ
걸레: ㄱㅓㄹㄹㅓㅣ
걸상: ㄱㅓㄹㅅㅏㅇ
걸쇠: ㄱㅓㄹㅅㅗㅣ
걸식: ㄱㅓㄹㅅㅣㄱ
걸신: ㄱㅓㄹㅅㅣㄴ
걸음: ㄱㅓㄹㅇㅡㅁ
걸인: ㄱㅓㄹㅇㅣㄴ
걸작: ㄱㅓㄹㅈㅏㄱ
검문: ㄱㅓㅁㅁㅜㄴ
검불: ㄱㅓㅁㅂㅜㄹ
검산: ㄱㅓㅁㅅㅏㄴ
검술: ㄱㅓㅁㅅㅜㄹ
검안: ㄱㅓㅁㅇㅏㄴ
검약: ㄱㅓㅁㅇㅑㄱ
검역: ㄱㅓㅁㅇㅕㄱ
검열: ㄱㅓㅁㅇㅕㄹ
검인: ㄱㅓㅁㅇㅣㄴ
검정: ㄱㅓㅁㅈㅓㅇ
검증: ㄱㅓㅁㅈㅡㅇ
검진: ㄱㅓㅁㅈㅣㄴ
검찰: ㄱㅓㅁㅊㅏㄹ
검출: ㄱㅓㅁㅊㅜㄹ
검침: ㄱㅓㅁㅊㅣㅁ
겁탈: ㄱㅓㅂㅌㅏㄹ
겉감: ㄱㅓㅌㄱㅏㅁ
겉말: ㄱㅓㅌㅁㅏㄹ
겉멋: ㄱㅓㅌㅁㅓㅅ
겉면: ㄱㅓㅌㅁㅕㄴ
겉봉: ㄱㅓㅌㅂㅗㅇ
겉옷: ㄱㅓㅌㅇㅗㅅ
겉장: ㄱㅓㅌㅈㅏㅇ
게양: ㄱㅓㅣㅇㅑㅇ
게임: ㄱㅓㅣㅇㅣㅁ
게장: ㄱㅓㅣㅈㅏㅇ
게재: ㄱㅓㅣㅈㅏㅣ
격감: ㄱㅕㄱㄱㅏㅁ
격년: ㄱㅕㄱㄴㅕㄴ
격돌: ㄱㅕㄱㄷㅗㄹ
격동: ㄱㅕㄱㄷㅗㅇ
격랑: ㄱㅕㄱㄹㅏㅇ
격론: ㄱㅕㄱㄹㅗㄴ
격멸: ㄱㅕㄱㅁㅕㄹ
격변: ㄱㅕㄱㅂㅕㄴ
격분: ㄱㅕㄱㅂㅜㄴ
격상: ㄱㅕㄱㅅㅏㅇ
격식: ㄱㅕㄱㅅㅣㄱ
격양: ㄱㅕㄱㅇㅑㅇ
격언: ㄱㅕㄱㅇㅓㄴ
격음: ㄱㅕㄱㅇㅡㅁ
격의: ㄱㅕㄱㅇㅡㅣ
격일: ㄱㅕㄱㅇㅣㄹ
격전: ㄱㅕㄱㅈㅓㄴ
격정: ㄱㅕㄱㅈㅓㅇ
격증: ㄱㅕㄱㅈㅡㅇ
격찬: ㄱㅕㄱㅊㅏㄴ
격침: ㄱㅕㄱㅊㅣㅁ
격퇴: ㄱㅕㄱㅌㅗㅣ
격화: ㄱㅕㄱㅎㅗㅏ
견공: ㄱㅕㄴㄱㅗㅇ
견과: ㄱㅕㄴㄱㅗㅏ
견문: ㄱㅕㄴㅁㅜㄴ
견본: ㄱㅕㄴㅂㅗㄴ
견습: ㄱㅕㄴㅅㅡㅂ
견식: ㄱㅕㄴㅅㅣㄱ
견인: ㄱㅕㄴㅇㅣㄴ
견장: ㄱㅕㄴㅈㅏㅇ
견적: ㄱㅕㄴㅈㅓㄱ
견제: ㄱㅕㄴㅈㅓㅣ
견학: ㄱㅕㄴㅎㅏㄱ
견해: ㄱㅕㄴㅎㅏㅣ
결강: ㄱㅕㄹㄱㅏㅇ
결격: ㄱㅕㄹㄱㅕㄱ
결과: ㄱㅕㄹㄱㅗㅏ
결국: ㄱㅕㄹㄱㅜㄱ
결근: ㄱㅕㄹㄱㅡㄴ
결단: ㄱㅕㄹㄷㅏㄴ
결렬: ㄱㅕㄹㄹㅕㄹ
결례: ㄱㅕㄹㄹㅕㅣ
결론: ㄱㅕㄹㄹㅗㄴ
결막: ㄱㅕㄹㅁㅏㄱ
결말: ㄱㅕㄹㅁㅏㄹ
결박: ㄱㅕㄹㅂㅏㄱ
결번: ㄱㅕㄹㅂㅓㄴ
결벽: ㄱㅕㄹㅂㅕㄱ
결별: ㄱㅕㄹㅂㅕㄹ
결빙: ㄱㅕㄹㅂㅣㅇ
결산: ㄱㅕㄹㅅㅏㄴ
결석: ㄱㅕㄹㅅㅓㄱ
결선: ㄱㅕㄹㅅㅓㄴ
결성: ㄱㅕㄹㅅㅓㅇ
결속: ㄱㅕㄹㅅㅗㄱ
결손: ㄱㅕㄹㅅㅗㄴ
결승: ㄱㅕㄹㅅㅡㅇ
결실: ㄱㅕㄹㅅㅣㄹ
결심: ㄱㅕㄹㅅㅣㅁ
결연: ㄱㅕㄹㅇㅕㄴ
결의: ㄱㅕㄹㅇㅡㅣ
결장: ㄱㅕㄹㅈㅏㅇ
결재: ㄱㅕㄹㅈㅏㅣ
결전: ㄱㅕㄹㅈㅓㄴ
결점: ㄱㅕㄹㅈㅓㅁ
결정: ㄱㅕㄹㅈㅓㅇ
결제: ㄱㅕㄹㅈㅓㅣ
결집: ㄱㅕㄹㅈㅣㅂ
결탁: ㄱㅕㄹㅌㅏㄱ
결판: ㄱㅕㄹㅍㅏㄴ
결핍: ㄱㅕㄹㅍㅣㅂ
결함: ㄱㅕㄹㅎㅏㅁ
결합: ㄱㅕㄹㅎㅏㅂ
결항: ㄱㅕㄹㅎㅏㅇ
결혼: ㄱㅕㄹㅎㅗㄴ
