가감	ㄱㅏㄱㅏㅁ	더하거나 뺌.
가게	ㄱㅏㄱㅓㅣ	작은 규모로 물건을 펼쳐 놓고 파는 집.
가격	ㄱㅏㄱㅕㄱ	손이나 주먹, 몽둥이 등으로 치거나 때림.
가결	ㄱㅏㄱㅕㄹ	회의에 제출된 안건을 좋다고 인정하여 결정함.
가계	ㄱㅏㄱㅕㅣ	조상에서부터 후손으로 이어지는 한 집안.
가곡	ㄱㅏㄱㅗㄱ	시를 피리, 가야금, 거문고 등 전통 악기에 맞춰서 노래하는 한국의 전통 성악곡.
가공	ㄱㅏㄱㅗㅇ	기술이나 힘 등을 이용해 원료나 재료를 새로운 제품으로 만듦.
가극	ㄱㅏㄱㅡㄱ	대사를 음악 연주에 맞추어 노래로 부르는 서양식 연극.
가난	ㄱㅏㄴㅏㄴ	돈이 없어서 생활이 어려움. 또는 그런 상태.
가늠	ㄱㅏㄴㅡㅁ	목표나 기준 등에 맞는지 안 맞는지를 살핌. 또는 살피는 목표나 기준.
가능	ㄱㅏㄴㅡㅇ	할 수 있거나 될 수 있음.
가닥	ㄱㅏㄷㅏㄱ	하나의 덩어리나 묶음에서 풀리거나 갈라져 나온 긴 줄.
가담	ㄱㅏㄷㅏㅁ	한편이 되어 일을 하거나 도움.
가동	ㄱㅏㄷㅗㅇ	기계 등이 움직여 일함. 또는 기계 등을 움직여 일하게 함.
가락	ㄱㅏㄹㅏㄱ	물레로 실을 만들 때 실이 감기는 쇠로 된 꼬챙이. 또는 그 꼬챙이에 감긴 실의 뭉치.
가래	ㄱㅏㄹㅏㅣ	떡이나 엿 등을 둥근 모양으로 길게 늘여 만든 토막.
가량	ㄱㅏㄹㅑㅇ	어느 정도가 될지 미리 짐작함.
가름	ㄱㅏㄹㅡㅁ	서로 나누어 따로따로 되게 함.
가망	ㄱㅏㅁㅏㅇ	바라는 대로 이루어질 가능성이나 희망.
가면	ㄱㅏㅁㅕㄴ	얼굴을 감추거나 다르게 꾸미기 위하여 종이, 나무, 흙 등으로 만들어 얼굴에 쓰는 물건.
가명	ㄱㅏㅁㅕㅇ	실제 자기 이름이 아닌 가짜 이름.
가문	ㄱㅏㅁㅜㄴ	한 조상으로부터 이어져 내려오는 집안. 또는 그 사회적 지위.
가뭄	ㄱㅏㅁㅜㅁ	오랫동안 비가 오지 않는 날씨.
가발	ㄱㅏㅂㅏㄹ	진짜 머리카락처럼 만들어 머리에 쓰거나 붙이는 가짜 머리카락.
가방	ㄱㅏㅂㅏㅇ	물건을 넣어 손에 들거나 어깨에 멜 수 있게 만든 것.
가법	ㄱㅏㅂㅓㅂ	한 집안에서 지켜야 할 규범이나 법도.
가변	ㄱㅏㅂㅕㄴ	형태나 성질이 바뀌거나 달라질 수 있음. 또는 형태나 성질을 바꾸거나 달라지게 할 수 있음.
가봉	ㄱㅏㅂㅗㅇ	서아프리카에 있는 나라. 주요 생산물로는 마호가니, 코코아, 석유, 우라늄 등이 있다. 주요 언어는 프랑스어이고 수도는 리브르빌이다.
가불	ㄱㅏㅂㅜㄹ	받기로 한 임금이나 용돈 등을 미리 받음.
가산	ㄱㅏㅅㅏㄴ	더하여 셈함.
가상	ㄱㅏㅅㅏㅇ	사실이 아닌 것을 지어내어 사실처럼 생각함.
가설	ㄱㅏㅅㅓㄹ	전깃줄, 전화선, 다리 등의 시설을 설치함.
가성	ㄱㅏㅅㅓㅇ	일부러 꾸며 낸 목소리.
가세	ㄱㅏㅅㅓㅣ	함께하여 힘을 보탬.
가속	ㄱㅏㅅㅗㄱ	속도를 높임. 또는 그 속도.
가슴	ㄱㅏㅅㅡㅁ	인간이나 동물의 목과 배 사이에 있는 몸의 앞 부분.
가식	ㄱㅏㅅㅣㄱ	말이나 행동을 거짓으로 꾸밈.
가십	ㄱㅏㅅㅣㅂ	흥미를 위해 개인의 소문이나 험담 등을 다룬 기사 또는 그런 이야기.
가업	ㄱㅏㅇㅓㅂ	한 집안에서 대대로 이어서 하는 사업.
가열	ㄱㅏㅇㅕㄹ	어떤 물질에 뜨거운 열을 가함.
가옥	ㄱㅏㅇㅗㄱ	사람이 사는 집.
가외	ㄱㅏㅇㅗㅣ	일정한 기준이나 한도에 더한 것.
가용	ㄱㅏㅇㅛㅇ	사용할 수 있음.
가운	ㄱㅏㅇㅜㄴ	집안의 운수.
가위	ㄱㅏㅇㅜㅣ	종이나 천, 머리카락 등을 자르는 도구.
가을	ㄱㅏㅇㅡㄹ	네 계절 중의 하나로 여름과 겨울 사이의 계절.
가입	ㄱㅏㅇㅣㅂ	단체에 들어가거나 상품 및 서비스를 받기 위해 계약을 함.
가작	ㄱㅏㅈㅏㄱ	매우 뛰어난 작품.
가장	ㄱㅏㅈㅏㅇ	한 가족을 대표하고 책임지는 사람. 주로 집안의 남자 어른.
가재	ㄱㅏㅈㅏㅣ	게와 새우의 중간 모양으로 껍데기가 단단하고 큰 집게발을 포함한 다섯 쌍의 발이 있으며, 맑은 물에 사는 동물.
가전	ㄱㅏㅈㅓㄴ	가정에서 사용하는 전기 기구.
가정	ㄱㅏㅈㅓㅇ	한 가족으로 이루어진 공동체나 그들이 생활하는 집.
가제	ㄱㅏㅈㅓㅣ	진짜 제목을 만들기 전에 임시로 만든 제목.
가족	ㄱㅏㅈㅗㄱ	주로 한 집에 모여 살고 결혼이나 부모, 자식, 형제 등의 관계로 이루어진 사람들의 집단. 또는 그 구성원.
가죽	ㄱㅏㅈㅜㄱ	사람이나 동물의 몸을 싸고 있는 껍질.
가중	ㄱㅏㅈㅜㅇ	책임이나 부담 등이 더 무겁고 커지는 것.
가짜	ㄱㅏㅈㅈㅏ	진짜처럼 꾸몄지만 진짜가 아닌 것.
가창	ㄱㅏㅊㅏㅇ	노래를 부름.
가축	ㄱㅏㅊㅜㄱ	사람이 생활에 도움을 얻으려고 집에서 기르는 짐승.
가출	ㄱㅏㅊㅜㄹ	가정을 버리고 집을 나가서 돌아오지 않음.
가친	ㄱㅏㅊㅣㄴ	(높이는 말로) 자기의 아버지.
가칭	ㄱㅏㅊㅣㅇ	임시로 이름을 지어 부름. 또는 그런 이름.
가탈	ㄱㅏㅌㅏㄹ	어떤 일에 방해가 되는 것.
가통	ㄱㅏㅌㅗㅇ	집안의 계통이나 전통.
