가로수: ㄱㅏㄹㅗㅅㅜ
가르마: ㄱㅏㄹㅡㅁㅏ
가리비: ㄱㅏㄹㅣㅂㅣ
가마니: ㄱㅏㅁㅏㄴㅣ
가오리: ㄱㅏㅇㅗㄹㅣ
가이드: ㄱㅏㅇㅣㄷㅡ
가자미: ㄱㅏㅈㅏㅁㅣ
거머리: ㄱㅓㅁㅓㄹㅣ
거주자: ㄱㅓㅈㅜㅈㅏ
거주지: ㄱㅓㅈㅜㅈㅣ
겨루기: ㄱㅕㄹㅜㄱㅣ
고가구: ㄱㅗㄱㅏㄱㅜ
고구려: ㄱㅗㄱㅜㄹㅕ
고구마: ㄱㅗㄱㅜㅁㅏ
고라니: ㄱㅗㄹㅏㄴㅣ
고모부: ㄱㅗㅁㅗㅂㅜ
고사리: ㄱㅗㅅㅏㄹㅣ
고사이: ㄱㅗㅅㅏㅇㅣ
고소자: ㄱㅗㅅㅗㅈㅏ
고시조: ㄱㅗㅅㅣㅈㅗ
고유어: ㄱㅗㅇㅠㅇㅓ
고조모: ㄱㅗㅈㅗㅁㅗ
고조부: ㄱㅗㅈㅗㅂㅜ
고주파: ㄱㅗㅈㅜㅍㅏ
고지서: ㄱㅗㅈㅣㅅㅓ
교도소: ㄱㅛㄷㅗㅅㅗ
교두보: ㄱㅛㄷㅜㅂㅗ
교무처: ㄱㅛㅁㅜㅊㅓ
교차로: ㄱㅛㅊㅏㄹㅗ
구기자: ㄱㅜㄱㅣㅈㅏ
구더기: ㄱㅜㄷㅓㄱㅣ
구도자: ㄱㅜㄷㅗㅈㅏ
구두코: ㄱㅜㄷㅜㅋㅗ
구미호: ㄱㅜㅁㅣㅎㅗ
구치소: ㄱㅜㅊㅣㅅㅗ
그리기: ㄱㅡㄹㅣㄱㅣ
그리스: ㄱㅡㄹㅣㅅㅡ
그사이: ㄱㅡㅅㅏㅇㅣ
기고가: ㄱㅣㄱㅗㄱㅏ
기러기: ㄱㅣㄹㅓㄱㅣ
기브스: ㄱㅣㅂㅡㅅㅡ
기사도: ㄱㅣㅅㅏㄷㅗ
기여도: ㄱㅣㅇㅕㄷㅗ
기차표: ㄱㅣㅊㅏㅍㅛ
기표소: ㄱㅣㅍㅛㅅㅗ
기피자: ㄱㅣㅍㅣㅈㅏ
나누기: ㄴㅏㄴㅜㄱㅣ
나루터: ㄴㅏㄹㅜㅌㅓ
나머지: ㄴㅏㅁㅓㅈㅣ
나무저: ㄴㅏㅁㅜㅈㅓ
나으리: ㄴㅏㅇㅡㄹㅣ
나이트: ㄴㅏㅇㅣㅌㅡ
나이프: ㄴㅏㅇㅣㅍㅡ
너구리: ㄴㅓㄱㅜㄹㅣ
노가다: ㄴㅗㄱㅏㄷㅏ
노가리: ㄴㅗㄱㅏㄹㅣ
